,DAY,OFNS_DESC,COUNT
1678,30, CRIMINAL TRESPASS,1836
133,3, FORGERY,1834
422,8, FORGERY,1831
689,12, THEFT-FRAUD,1828
113,2, VEHICLE AND TRAFFIC LAWS,1824
168,3, THEFT-FRAUD,1824
308,6, FORGERY,1815
631,11, THEFT-FRAUD,1813
1169,21, FORGERY,1811
997,18, FORGERY,1806
400,7, THEFT-FRAUD,1801
1666,29, VEHICLE AND TRAFFIC LAWS,1792
19,1, FORGERY,1786
883,16, FORGERY,1786
478,9, FORGERY,1779
594,11, FORGERY,1776
1223,22, FORGERY,1775
341,6, THEFT-FRAUD,1775
768,14, FORGERY,1773
1054,19, FORGERY,1764
1032,18, THEFT-FRAUD,1761
746,13, THEFT-FRAUD,1760
364,7, FORGERY,1758
974,17, THEFT-FRAUD,1751
918,16, THEFT-FRAUD,1749
226,4, THEFT-FRAUD,1745
1200,21, THEFT-FRAUD,1744
191,4, FORGERY,1733
1566,28, FORGERY,1731
1603,28, THEFT-FRAUD,1721
1545,27, THEFT-FRAUD,1720
1258,22, THEFT-FRAUD,1703
1281,23, FORGERY,1701
456,8, THEFT-FRAUD,1699
1316,23, THEFT-FRAUD,1690
1451,26, FORGERY,1684
1430,25, THEFT-FRAUD,1677
514,9, THEFT-FRAUD,1670
1396,25, FORGERY,1654
1485,26, THEFT-FRAUD,1648
1375,24, THEFT-FRAUD,1645
1507,27, FORGERY,1637
1090,19, THEFT-FRAUD,1628
1339,24, FORGERY,1624
1721,30, THEFT-FRAUD,1605
1626,29, FORGERY,1586
1663,29, THEFT-FRAUD,1568
1686,30, FORGERY,1541
1751,31, INTOXICATED & IMPAIRED DRIVING,1367
825,15, FRAUDS,1307
537,10, FRAUDS,1209
1113,20, FRAUDS,1179
134,3, FRAUDS,1153
366,7, FRAUDS,1131
78,2, FRAUDS,1125
250,5, FRAUDS,1122
654,12, FRAUDS,1118
941,17, FRAUDS,1116
913,16, POSSESSION OF STOLEN PROPERTY,1112
1735,31, CRIMINAL TRESPASS,1099
309,6, FRAUDS,1098
